,generation,population_size,best_fitness,avg_fitness,worst_fitness,duplicates,mutations,crossovers,test_fitness
25,25,49,0.12359172703932715,1.012592339341142,5.784540788777032,3,4,19,0.10288551240308345
26,26,49,0.12359172703932715,0.9486675621092645,3.9706100826857305,2,6,13,0.10288551240308345
27,27,49,0.12359172703932715,0.8749201582533469,3.6475905023494057,4,4,15,0.10288551240308345
28,28,49,0.12359172703932715,0.7458144193114828,4.442918104741463,6,2,18,0.10288551240308345
29,29,49,0.12359172703932715,0.6781603203742534,4.442918104741463,3,5,16,0.10288551240308345
30,30,49,0.12359172703932715,0.9731365697916061,4.1095204223902,2,5,14,0.10288551240308345
31,31,49,0.12359172703932715,0.9088597727465184,4.442918104741463,5,4,13,0.10288551240308345
32,32,49,0.12359172703932715,0.739994399390163,3.290951878185913,5,2,14,0.10288551240308345
33,33,49,0.12359172703932715,0.9962761494854443,3.6475905023494057,6,4,13,0.10288551240308345
34,34,49,0.12359172703932715,1.009136907544532,4.442918104741463,5,2,15,0.10288551240308345
35,35,49,0.12359172703932715,1.023897020400965,3.6475905023494057,5,9,17,0.10288551240308345
36,36,49,0.12359172703932715,0.7911787155303717,4.442918104741463,1,0,12,0.10288551240308345
37,37,49,0.12359172703932715,1.3753061613684903,3.6475905023494057,9,3,17,0.10288551240308345
38,38,49,0.12359172703932715,1.2229200756464622,7.199192025710252,3,2,18,0.10288551240308345
39,39,49,0.12359172703932715,1.0614672624695562,3.7371692649791335,1,1,17,0.10288551240308345
40,40,49,0.12359172703932715,0.9638255671378456,3.6475905023494053,1,1,15,0.10288551240308345
41,41,49,0.12359172703932715,1.0394297697313453,4.164475394959565,4,2,16,0.10288551240308345
42,42,49,0.12359172703932715,0.779935483180475,2.473303129633813,6,3,11,0.10288551240308345
43,43,49,0.12359172703932715,1.024271973524325,5.190064367027358,7,1,13,0.10288551240308345
44,44,49,0.12359172703932714,0.9346737552205193,4.442918104741463,7,1,13,0.10288551240308345
45,45,49,0.12359172703932714,1.0134184983382537,4.857196173317042,6,2,15,0.10288551240308345
46,46,49,0.12359172703932714,1.0574087553322036,5.385448693007723,6,2,15,0.10288551240308345
47,47,49,0.12359172703932714,0.9595402723451197,4.211776188422086,3,5,16,0.10288551240308345
48,48,49,0.12359172703932714,1.194946009664128,7.092394919900927,2,2,14,0.10288551240308345
49,49,49,0.12359172703932714,0.9465469988610545,4.442918104741463,6,8,10,0.10288551240308345
50,0,49,1.0326578158807653,1.1736840819859653,1.3698533325592213,0,1,15,0.33112681744279165
51,1,49,0.8417209917215033,1.1722992287578715,1.540854585726775,4,5,15,0.33112681744279165
52,2,49,0.8417209917215033,1.1231409211558099,1.2588496780805836,9,4,13,0.33112681744279165
53,3,49,0.8278909688357728,1.0983794003815648,1.2879933519581408,6,1,14,0.33112681744279165
54,4,49,0.7683136181810106,1.1058122679655875,1.5016857696867787,4,5,14,0.33112681744279165
55,5,49,0.7320775765973336,1.1651834194373103,2.472230388964026,3,4,16,0.33112681744279165
56,6,49,0.7320775765973336,1.102281400468765,2.502882789851752,2,5,14,0.33112681744279165
57,7,49,0.7320775765973336,1.1508409533194748,2.8210012748022653,5,8,17,0.33112681744279165
58,8,49,0.7320775765973336,1.0595247582537006,2.241540107843424,2,5,16,0.33112681744279165
59,9,49,0.7289631517322253,1.045128543332446,1.5784158604271348,2,3,16,0.33112681744279165
60,10,49,0.7289631517322253,1.041923351579968,2.377183704540477,5,2,14,0.33112681744279165
